Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
141,spx-2013-2018,141,2013-08-30 23:59:59.999989,1638.89,1640.08,1628.05,1632.97,2734300000.0,0.0,MeanReversionStrategy,141,735110.9999999999,SimpleMovingAverage,141,1620.91359375,Broker,141,99977.67,99977.67,BuySell,141,,1638.89,Trades,141,,-22.329999999999927
142,spx-2013-2018,142,2013-09-03 23:59:59.999989,1635.95,1651.35,1633.41,1639.77,3731610000.0,0.0,MeanReversionStrategy,142,735114.9999999999,SimpleMovingAverage,142,1621.863359375,Broker,142,98341.72,99981.49,BuySell,142,1635.95,,Trades,142,,
143,spx-2013-2018,143,2013-09-04 23:59:59.999989,1640.72,1655.72,1637.41,1653.08,3312150000.0,0.0,MeanReversionStrategy,143,735115.9999999999,SimpleMovingAverage,143,1622.862421875,Broker,143,98341.72,99994.8,BuySell,143,,,Trades,143,,
144,spx-2013-2018,144,2013-09-05 23:59:59.999989,1653.28,1659.17,1653.07,1655.08,2957110000.0,0.0,MeanReversionStrategy,144,735116.9999999999,SimpleMovingAverage,144,1623.763125,Broker,144,98341.72,99996.8,BuySell,144,,,Trades,144,,
145,spx-2013-2018,145,2013-09-06 23:59:59.999989,1657.44,1664.83,1640.62,1655.17,3123880000.0,0.0,MeanReversionStrategy,145,735117.9999999999,SimpleMovingAverage,145,1624.651484375,Broker,145,98341.72,99996.89,BuySell,145,,,Trades,145,,
146,spx-2013-2018,146,2013-09-09 23:59:59.999989,1656.85,1672.4,1656.85,1671.71,3102780000.0,0.0,MeanReversionStrategy,146,735120.9999999999,SimpleMovingAverage,146,1625.6471875,Broker,146,98341.72,100013.43000000001,BuySell,146,,,Trades,146,,
147,spx-2013-2018,147,2013-09-10 23:59:59.999989,1675.11,1684.09,1675.11,1683.99,3691800000.0,0.0,MeanReversionStrategy,147,735121.9999999999,SimpleMovingAverage,147,1626.684765625,Broker,147,98341.72,100025.71,BuySell,147,,,Trades,147,,
148,spx-2013-2018,148,2013-09-11 23:59:59.999989,1681.04,1689.13,1678.7,1689.13,3135460000.0,0.0,MeanReversionStrategy,148,735122.9999999999,SimpleMovingAverage,148,1627.723125,Broker,148,98341.72,100030.85,BuySell,148,,,Trades,148,,
149,spx-2013-2018,149,2013-09-12 23:59:59.999989,1689.21,1689.97,1681.96,1683.42,3106290000.0,0.0,MeanReversionStrategy,149,735123.9999999999,SimpleMovingAverage,149,1628.74609375,Broker,149,98341.72,100025.14,BuySell,149,,,Trades,149,,
150,spx-2013-2018,150,2013-09-13 23:59:59.999989,1685.04,1688.73,1682.22,1687.99,2736500000.0,0.0,MeanReversionStrategy,150,735124.9999999999,SimpleMovingAverage,150,1629.788828125,Broker,150,98341.72,100029.71,BuySell,150,,,Trades,150,,
151,spx-2013-2018,151,2013-09-16 23:59:59.999989,1691.7,1704.95,1691.7,1697.6,3079800000.0,0.0,MeanReversionStrategy,151,735127.9999999999,SimpleMovingAverage,151,1630.83859375,Broker,151,98341.72,100039.32,BuySell,151,,,Trades,151,,
