Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-04-04,41.054970000000004,8.777726,27.163785999999998,61.573116000000006,34.209118,32.9506,29.215246,32.488372999999996,28.56035,675828.7328347377,1340835.9319389267,1938276.4051444551,672694.5134868857
2012-04-05,41.339684000000005,8.755191,27.226955,61.225727,34.200008000000004,32.817454999999995,29.215246,32.302437,28.349092,675828.7328347377,1308731.2359136264,1925693.6428704483,672694.5134868857
2012-04-09,40.963112,8.619976,27.037440999999998,60.452805000000005,33.771481,32.284855,28.949265999999998,31.833128000000002,28.202837,675828.7328347377,1276418.6061264756,1887555.9995309692,672694.5134868857
2012-04-10,39.962002000000005,8.434055,26.658410999999997,59.263031000000005,33.38855,31.627962,28.691864000000002,31.177870000000002,27.8372,675828.7328347377,1299924.5621633471,1918030.7695792103,672694.5134868857
2012-04-11,40.513081,8.56927,26.811829,59.280392000000006,33.507076,31.983027000000003,28.837721000000002,31.514349,27.902203000000004,675828.7328347377,1346345.5016183695,1928871.6912521413,672694.5134868857
2012-04-12,41.027412,8.727022,27.145737,60.574379,33.689434000000006,32.666553,28.854881,32.373267999999996,27.991584999999997,675828.7328347377,1312983.178361878,1921355.1569750868,672694.5134868857
2012-04-13,40.917190999999995,8.5242,26.721590000000003,59.662514,33.352074,32.249344,28.854881,31.992516,27.894081,675828.7328347377,1316528.6201385218,1914362.2188651415,672694.5134868857
2012-04-16,40.770247999999995,8.586172,26.441822,59.263031000000005,33.361195,32.338112,28.975002000000003,32.08992,28.154083,675828.7328347377,1338496.8051335071,1944183.6399092344,672694.5134868857
2012-04-17,41.201923,8.698853,27.019396,60.227016000000006,33.853546,32.87072,29.266727000000003,32.5238,28.300342999999998,675828.7328347377,1332999.3356125937,1937143.0691930284,672694.5134868857
2012-04-18,41.266209,8.642511,26.820853999999997,60.105431,33.762367,32.728687,29.266727000000003,32.435249,28.251590999999998,675828.7328347377,1328670.420361213,1931196.984989938,672694.5134868857
2012-04-19,40.935574,8.603076,26.523045,60.027271,33.817074,32.364734999999996,29.172346,32.320137,28.178465000000003,675828.7328347377,1330521.1651942916,1941717.9362667706,672694.5134868857
2012-04-20,40.999851,8.558003999999999,26.423777,59.888317,33.999424,32.639934999999994,29.438323999999998,32.302437,28.454721000000003,675828.7328347377,1323860.4386544041,1917250.3355534147,672694.5134868857
2012-04-23,40.55901,8.496029,26.216209000000003,59.827526,33.735012,32.275974,28.983584999999998,31.903959000000004,28.332838,675828.7328347377,1344153.713804524,1906504.8936266815,672694.5134868857
2012-04-24,40.421219,8.591805,26.162067,60.270428,33.853546,32.702057,28.992165000000004,31.903959000000004,28.527846999999998,675828.7328347377,1350790.9212731968,1942594.5998767486,672694.5134868857
2012-04-25,41.100899,8.665047,26.902072999999998,60.869663,34.209118,32.764191,29.180925,32.576927000000005,28.674099,675828.7328347377,1351615.7100914945,1953971.0082991985,672694.5134868857
2012-04-26,41.615234,8.738291,27.109638,61.51231,34.200008000000004,32.959488,29.446904999999997,32.541508,28.836605,675828.7328347377,1356433.055213622,1957245.5457571102,672694.5134868857
2012-04-27,42.129559,8.743922999999999,27.100615,61.486263,34.218246,33.163654,29.404010999999997,32.700897,28.934109000000003,675828.7328347377,1354136.2569966593,1959256.4481761188,672694.5134868857
2012-04-30,41.890778000000005,8.693216,26.9111,61.868382,34.200008000000004,32.852959000000006,29.326788,32.470661,28.974731,675828.7328347377,1369516.3045445604,1955874.867273313,672694.5134868857
2012-05-01,42.166294,8.78336,27.001345,62.75419599999999,34.327656,32.9506,29.404010999999997,32.665478,29.120989,675828.7328347377,1347220.141598818,1962331.1163667727,672694.5134868857
2012-05-02,42.395901,8.715753999999999,27.019396,61.72942,34.26384,32.959488,29.429740999999996,32.506091999999995,28.950367,675828.7328347377,1321363.0993652667,1977059.6899489104,672694.5134868857
2012-05-03,42.065258,8.642511,26.793781,60.704646999999994,34.136181,32.693184,29.472642999999998,32.134186,28.860989,675828.7328347377,1294850.2118784427,1989864.8048702865,672694.5134868857
