,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,datetime,cumulative_pnl_12m
401,0.6299999999998747,0.0,-36.74999999999989,0.0,24.569999999999908,-12.0,-15.599999999999852,27.36999999999999,0.0,2014-09-15,-98.0100000000008
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-16,-98.0100000000008
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-17,-98.0100000000008
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-18,-98.0100000000008
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-19,-98.0100000000008
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-22,-98.0100000000008
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-23,-98.0100000000008
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-24,-98.0100000000008
409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-25,-98.0100000000008
410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-26,-98.0100000000008
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-29,-98.0100000000008
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-30,-98.0100000000008
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-01,-98.0100000000008
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-02,-98.0100000000008
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-03,-98.0100000000008
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-06,-98.0100000000008
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-07,-98.0100000000008
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-08,-98.0100000000008
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-09,-98.0100000000008
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-10,-98.0100000000008
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-13,-98.0100000000008
422,-90.09000000000013,136.83999999999997,0.0,0.0,-49.920000000000044,1.9200000000003,0.0,-27.19999999999993,64.05000000000004,2014-10-14,-62.41000000000059
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-15,-62.41000000000059
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-16,-62.41000000000059
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-17,-62.41000000000059
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-20,-62.41000000000059
427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-21,-62.41000000000059
428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-22,-62.41000000000059
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-23,-62.41000000000059
430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-24,-62.41000000000059
431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-27,-62.41000000000059
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-28,-62.41000000000059
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-29,-62.41000000000059
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-30,-62.41000000000059
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-31,-62.41000000000059
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-03,-62.41000000000059
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-04,-62.41000000000059
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-05,-62.41000000000059
